iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.3832337856292725,-547.5498335858831,10.765838949712464,-524.3357974958637,-576.0678318868529,0.0,0.5536105251724479,0.1,0.07492733001708984,0.13623595237731934,0.056944337,0.18529181,-547.5498335858831,-0.10442948657406702,-2.5282720839212938,0.0,2556,0.3570523262023926,0.9998304984504022,0.917706387952464,-655.6845630315912,0.0
1,1.476125717163086,-546.4127220105065,11.046565900025229,-528.6524330466141,-574.4359644471472,0.0,0.6746909595854417,0.1,0.08333086967468262,0.48139238357543945,0.051715698,0.14936154,-547.4361224283455,-0.10475767838058009,-2.522643821527076,0.0,2513,0.2224569320678711,0.9177375223102107,0.2881105707484442,-680.8657887013383,0.0
2,1.3776743412017822,-547.6649096547989,10.784396967838223,-527.1200104880978,-574.9462702985247,0.0,0.7032479405683345,0.1,0.012953996658325195,0.19098138809204102,0.04807427,0.13995512,-547.4590011509908,-0.10251410524433686,-2.5288854193293995,0.0,2592,0.3488907814025879,0.28546380201816857,0.015033198378066605,-644.1082388978245,0.0
3,1.4598324298858643,-549.8290802257371,10.27901394032521,-531.4784346755862,-572.1528518219397,0.0,0.7487197764627146,0.1,0.19660663604736328,0.7212116718292236,0.048083898,0.11123314,-547.6960090584655,-0.10051087604565372,-2.5397092325706647,0.0,2721,0.24936699867248535,0.015063179779977297,0.013332829657210813,-631.4042974646255,0.0
4,1.3381731510162354,-549.7410906869726,11.082175953417634,-526.8894572875131,-588.3788726986595,0.0,0.7555583427136019,0.1,0.06976461410522461,0.710141658782959,0.051326334,0.10939515,-547.9005172213162,-0.10325150804531258,-2.5393980710521675,0.0,2707,0.29738378524780273,0.01349215842822374,0.011351127824912861,-573.2486646062807,0.0
5,1.305039882659912,-546.9036343496658,9.940604748385168,-525.927181579131,-573.1505284902631,0.0,0.6223967771797385,0.1,0.05411720275878906,0.1842482089996338,0.054996476,0.1223101,-547.8008289341512,-0.10444398672290374,-2.5251189971832257,0.0,2567,0.18415331840515137,0.011342005578932186,0.008916103172996445,-556.3010764612543,0.0
6,1.404597282409668,-548.4655801416297,11.641775486157421,-528.9762611389954,-585.1803299087787,0.0,0.6637959128771258,0.1,0.14099383354187012,0.5970687866210938,0.052435867,0.12022014,-547.8673040548991,-0.102318749537791,-2.532862184587547,0.0,2655,0.18888115882873535,0.009240289120417232,0.0061722109710556665,-525.0424303713673,0.0
7,1.2974469661712646,-546.4184750890089,10.472774092982656,-528.6928592857803,-566.6005974806375,0.0,0.6724543754778388,0.1,0.03169608116149902,0.7768547534942627,0.052582804,0.11756313,-547.7224211583101,-0.1023892296445071,-2.522681216374544,0.0,2564,0.2777543067932129,0.006465901681671292,0.003954225486265969,-589.1511588395347,0.0
8,1.6807973384857178,-550.1268152864625,12.136771727944568,-531.2819863395742,-579.6083908110888,0.0,0.7399677691847261,0.1,0.06259703636169434,0.48935914039611816,0.05305215,0.12818435,-547.9628605711254,-0.10594951590592783,-2.541178668693823,0.0,2685,0.5088794231414795,0.0038780400847135076,0.0020495960500354782,-582.3972548183622,0.0
9,1.536780834197998,-548.4054670399005,10.528528649812477,-531.7872731967113,-571.7559328405962,0.0,0.6163893864660975,0.1,0.18363118171691895,0.7661445140838623,0.050838836,0.12232254,-548.0071212180029,-0.10182340782800932,-2.5325238067497033,0.0,2640,0.32936811447143555,0.0020219745426306866,0.0008711769755318086,-571.540571163913,0.0
10,1.5052907466888428,-549.2883412051547,11.490007680827054,-530.239596536583,-572.5387037051908,0.0,0.7174518606899725,0.1,0.18569040298461914,0.4306504726409912,0.048979647,0.083111316,-548.1352432167181,-0.1041688887241018,-2.536951970962543,0.0,2645,0.19034147262573242,0.000860284804809081,0.00034561716452154325,-556.0314506614596,0.0
11,1.5863714218139648,-550.8261063979618,11.721104869842332,-523.1945867642735,-591.8628440467888,0.0,0.6884833916765406,0.1,0.22790169715881348,1.0450439453125,0.052354056,0.119075716,-548.4043295348424,-0.10369222221994838,-2.5446043304127914,0.0,2754,0.25577616691589355,0.0003470627832345855,0.00017282228417001602,-550.8032648262075,0.0
12,1.5524883270263672,-548.7781200718281,11.413657567154411,-531.4470424575059,-587.6880487490417,0.0,0.7006546402171245,0.1,0.01183772087097168,0.1338658332824707,0.05125031,0.12581083,-548.441708588541,-0.10098399590798586,-2.5343488015018973,0.0,2656,0.3370985984802246,0.00018968112973671505,0.00013994370559615495,-544.3920460112187,0.0
13,1.430474042892456,-550.9485200182917,10.863379936413022,-532.5348087364669,-578.5025400345297,0.0,0.7673570196206068,0.1,0.012831687927246094,0.1692671775817871,0.049579326,0.1252318,-548.6923897315161,-0.10084815087460448,-2.54525555367508,0.0,2774,0.39474940299987793,0.00010636615972969595,8.79419410836738e-05,-561.3383276728351,0.0
