iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.9832220077514648,-547.4425398228019,10.71467750066352,-524.4976660423325,-577.6421641193881,0.0,0.5549601347210681,0.1,0.16968512535095215,0.4890286922454834,0.05643152,0.18443023,-547.4425398228019,-0.1046438800092585,-2.527734149434389,0.0,2556,0.19817900657653809,0.9998305621038678,0.9177403916668267,-655.095523710738,0.0
1,1.9153242111206055,-546.3300133184752,11.284349771824262,-528.7271848892924,-575.5136527246226,0.0,0.6738006935657075,0.1,0.018937349319458008,0.7115213871002197,0.05259434,0.14914152,-547.3312871723692,-0.10463996800091606,-2.522242394392587,0.0,2515,0.17907309532165527,0.9177450262948997,0.288244970480254,-678.0432937018547,0.0
2,1.9350011348724365,-548.0286862958752,10.806202084401965,-527.3202657255812,-576.1694560910739,0.0,0.7097657020312006,0.1,0.01875162124633789,0.4094371795654297,0.05002125,0.1434769,-547.4010270847198,-0.10325363225511075,-2.5306205856738626,0.0,2602,0.4716780185699463,0.2855947000364667,0.014938822624846027,-638.6663504202954,0.0
3,2.0552706718444824,-550.0370067022536,10.498297871531264,-531.2980518492809,-573.6036739341687,0.0,0.754989757179223,0.1,0.03391671180725098,0.5218443870544434,0.047454108,0.10927015,-547.6646250464731,-0.10059800848436118,-2.540761960476686,0.0,2737,0.20010972023010254,0.014878690854860916,0.01320519596324686,-630.6765012560837,0.0
4,1.9857149124145508,-549.5071886324507,10.96660828553303,-526.120070139239,-588.6744428658168,0.0,0.74441339331805,0.1,0.05790400505065918,0.3825042247772217,0.05254608,0.11433026,-547.8488814050709,-0.10309734354534733,-2.538157177039898,0.0,2706,0.2613980770111084,0.013349791198109784,0.011005834490694125,-558.4848858133985,0.0
5,1.9823908805847168,-547.4850879849023,10.163443995152292,-525.9833808663094,-574.7377969368767,0.0,0.6152355612530594,0.1,0.017185449600219727,0.4615647792816162,0.05491834,0.11918714,-547.812502063054,-0.10351405774899486,-2.527957115591452,0.0,2600,0.39583468437194824,0.01083016840855921,0.008234909056782177,-549.8396644062102,0.0
6,1.9737532138824463,-548.2108146197635,11.170228294587856,-528.7096486417126,-574.5409849573008,0.0,0.66414965904483,0.1,0.04261589050292969,0.39997029304504395,0.052243248,0.12070778,-547.852333318725,-0.10155054725567149,-2.5316002690548327,0.0,2649,0.22940921783447266,0.008679325724457248,0.005672797549795602,-564.9089586311657,0.0
7,2.0939860343933105,-546.4590288629252,10.439953744734142,-528.8620183471046,-570.2298907151784,0.0,0.6738174235954351,0.1,0.03252696990966797,0.2720203399658203,0.05299448,0.11558561,-547.713002873145,-0.10183746265957698,-2.522763496807091,0.0,2578,0.238145112991333,0.005887546613933501,0.0035800220621358832,-589.5811148470441,0.0
8,2.1691131591796875,-549.9693357802299,12.037199922893068,-532.4440023706745,-577.2765015986811,0.0,0.7356385787041336,0.1,0.016202688217163086,0.21007537841796875,0.05291721,0.12811539,-547.9386361638535,-0.1053936879038702,-2.5404091521388295,0.0,2691,0.5432276725769043,0.003487161388992032,0.0018903731767341565,-578.3320318820549,0.0
9,2.173460006713867,-550.0699618094208,10.899107088602562,-531.4038611344102,-576.7556959206173,0.0,0.6174045239895779,0.1,0.07264399528503418,0.3331413269042969,0.050836835,0.12035648,-548.1517687284103,-0.10176470793741006,-2.5408223629942177,0.0,2707,0.33905696868896484,0.001822982129984739,0.0008540867028285283,-570.1399866476108,0.0
10,2.1975250244140625,-549.666195944785,11.825391578494878,-530.8535035146829,-578.1446142677167,0.0,0.7134252780125906,0.1,0.03262519836425781,0.36616015434265137,0.048925053,0.0830013,-548.3032114500478,-0.10389446783309209,-2.5388707224578018,0.0,2671,0.5138838291168213,0.0008662977202116007,0.00038892630783300057,-556.5272334092817,0.0
11,2.259101152420044,-551.3913548519373,14.222289630202997,-524.869661788365,-633.3925454304416,0.0,0.6833449859579446,0.1,0.020129680633544922,0.4702188968658447,0.05302856,0.11956417,-548.6120257902368,-0.10284163557523057,-2.5475013097265307,0.0,2795,0.2871255874633789,0.00039919809279801783,0.00019638516864789744,-602.3629444330356,0.0
12,2.044429063796997,-550.3589784297025,11.43369933380621,-530.8356237433375,-582.3150702049579,0.0,0.6814993446282733,0.1,0.026601314544677734,0.3191351890563965,0.051990647,0.121497564,-548.7867210541833,-0.10056321801889152,-2.542369335696883,0.0,2737,0.28254079818725586,0.00020152663911500131,0.00013987116292317475,-541.0219588360892,0.0
13,2.0753486156463623,-550.6415789778544,11.541730499531244,-530.5829967669255,-585.6506467975648,0.0,0.7410776024521318,0.1,0.023934602737426758,0.32576966285705566,0.048547916,0.1298984,-548.9722068465504,-0.10116101514866216,-2.5437527877577852,0.0,2757,0.31075215339660645,0.00010543862491633319,8.238684321844352e-05,-543.1505151153908,0.0
14,2.2146401405334473,-552.2089583572803,11.824924263300934,-531.9831044142776,-596.6456669413035,0.0,0.7634108878930692,0.1,0.03753519058227539,0.447345495223999,0.051734824,0.12686084,-549.2958819976234,-0.10185789009379768,-2.5515884017071158,0.0,2817,0.23266267776489258,0.00011607229019571993,0.0001067296076895756,-531.8422948251025,0.0
15,2.133211612701416,-552.5611883999732,11.207593291923171,-530.7389452585144,-588.9792920677301,0.0,0.8136612202769946,0.1,0.054109811782836914,0.386782169342041,0.05085889,0.123019345,-549.6224126378584,-0.10169915577598966,-2.5533351072099055,0.0,2867,0.37256503105163574,8.719256573284695e-05,8.330332914853563e-05,-550.0860783927626,0.0
16,2.1209399700164795,-551.5555250893199,12.260160151313457,-532.0760464372595,-596.037637132928,0.0,0.8375759730813835,0.1,0.06281733512878418,0.41659069061279297,0.04967869,0.119634725,-549.8157238830046,-0.10289613942863367,-2.54831075826502,0.0,2821,0.35417938232421875,0.00011515061936275502,0.00010926458365054344,-541.4534247906277,0.0
17,2.40073823928833,-551.6341073924685,14.591855555170545,-528.9078634560584,-632.470282140158,0.0,0.7790544502762025,0.1,0.01649022102355957,0.4043917655944824,0.050290756,0.13113563,-549.997562233951,-0.09894428261051498,-2.5486929924962136,0.0,2881,0.4857158660888672,0.00010942693801356022,0.00010931181838843475,-529.6071444378906,0.0
