iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.6784744262695312,-123.0254077164459,21.387011745201583,-62.44024351501711,-149.50437170700388,0.0,2.789980121910654,0.1,0.08544111251831055,0.3610713481903076,0.05157448,0.036500793,-123.0254077164459,-1.1900961290008056,-1.22988799621221,0.0,9600,0.7816705703735352,0.9992555483444171,0.20491262394584955,-73.6763878666826,0.0
1,1.6760985851287842,-93.68972308403438,33.46755367452836,-6.959936377132324,-150.29635806562175,0.0,3.5556121965292924,0.1,0.01940298080444336,0.35089731216430664,0.06146904,0.031098075,-120.09183925320475,-1.009335778649154,-0.9365380623651309,0.0,9600,0.7050836086273193,0.2767891559855123,0.1837214353277269,-71.68983896014849,0.0
2,1.5183565616607666,-84.76269391086429,34.05043246609237,94.4760272935197,-146.22269628550487,0.0,3.8374311932261396,0.1,0.013275861740112305,0.38727355003356934,0.052544106,0.026457852,-116.55892471897072,-0.9101084916780232,-0.8474545025930397,0.0,9600,0.879901647567749,0.20309346307485632,0.09693668107906149,-67.64657572351797,0.0
3,1.5183515548706055,-76.32139154835865,26.865740808238286,-6.4380149315278565,-133.96301650618307,0.0,3.488496176535785,0.1,0.009597539901733398,0.3535778522491455,0.05766421,0.028408963,-112.53517140190951,-0.8473213802704723,-0.762963141536622,0.0,9600,0.9559035301208496,0.0751497794543249,0.055761020643985755,-82.49317456158191,0.0
4,1.6753754615783691,-70.81410551018264,32.41239398397854,23.301983402460216,-132.17953829519553,0.0,3.429221169695472,0.1,0.01605844497680664,0.37863993644714355,0.05760684,0.03046976,-108.36306481273682,-0.8479133479366973,-0.7080625946885329,0.0,9600,1.0115001201629639,0.10874211118348617,0.096089625234073,-65.81811497653432,0.0
5,1.7354400157928467,-55.73225511895307,38.185859473631965,63.385020219857864,-127.17109785260168,0.0,3.844482024345633,0.1,0.021831274032592773,0.3762087821960449,0.059429232,0.0267219,-103.09998384335844,-0.8033880759073675,-0.5572523571331126,0.0,9600,1.2892448902130127,0.21928332694509053,0.19855312495994995,-62.44212012329674,0.0
6,1.6347308158874512,-46.199208904852135,42.089286223270655,57.124628482984924,-137.37319481429017,0.0,3.4225512806469207,0.1,0.01853013038635254,0.30606818199157715,0.055932567,0.033478186,-97.40990634950782,-0.7797627567819343,-0.46193960520316196,0.0,9600,1.452667474746704,0.252067499391515,0.23164509491743324,-66.88063754722644,0.0
7,1.7147650718688965,-29.62683007308812,49.462342502614675,93.68903004861261,-140.30677584305099,0.0,2.7121293307856877,0.1,0.015307188034057617,0.3522942066192627,0.054055188,0.036967617,-90.63159872186586,-0.7416844070384645,-0.29629695416352414,0.0,9600,1.5717942714691162,0.4897887977018564,0.46082639126521496,-61.70098023942226,0.0
8,1.6579101085662842,22.87259169904546,59.74333764432543,211.35879672436158,-125.36688495794957,0.0,2.5471806868654348,0.1,0.016443490982055664,0.31267881393432617,0.058656342,0.043310236,-79.28117967977472,-0.6451880736982376,0.2282375842078682,0.0,9600,1.4675929546356201,1.523531979561432,0.8159274769328047,-54.39749962513154,0.0
9,1.517087459564209,81.58578151352546,55.18442264104664,215.33682305239833,-116.84585493275922,0.0,2.509292985556304,0.1,0.02543950080871582,0.35123658180236816,0.054486092,0.040947955,-63.19448356044471,-0.5848064718777343,0.8139692724282886,0.0,9600,1.497281551361084,0.816189364618595,0.49707599645203404,-0.6987924103975439,0.0
10,1.5208008289337158,136.30190459989922,52.05886346011339,240.45560819268354,-5.681878981878608,2.0833333333333335,2.326231681288937,0.1,0.014220476150512695,0.32886719703674316,0.057292644,0.044326257,-43.244844744410315,-0.5491836306205746,1.3611172043514326,2.0833333333333335,9600,1.5035622119903564,0.46574141037468475,0.24573534112773734,351.94154342382365,0.0
