iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.7024939060211182,-113.14487828861571,55.07586493416073,152.17248393777865,-188.18633838887118,2.0833333333333335,3.942475118678793,0.1,0.08771538734436035,0.43107151985168457,0.046726715,0.02706203,-113.14487828861571,-1.1190467517024818,-1.1309168062446546,2.0833333333333335,9600,1.2401022911071777,0.999276195992324,0.31842200922260916,-108.09005475534109,0.0
1,1.4871101379394531,-104.79236213183042,72.30359145085765,296.8160959306328,-191.28903198439306,7.291666666666667,3.1430425890586355,0.1,0.04188895225524902,0.4474194049835205,0.047753792,0.03031674,-112.30962667293718,-1.0967716713683364,-1.0475879063553428,7.291666666666667,9600,1.454591989517212,0.3945317409256454,0.2995088109666731,-108.82467628398884,6.25
2,1.5101392269134521,-94.9991504486796,79.20801700870567,251.365908965404,-180.3834949137164,4.166666666666667,3.9764788277284455,0.1,0.01636815071105957,0.339663028717041,0.047981463,0.024984311,-110.57857905051144,-1.0422746959786025,-0.9495043395680304,4.166666666666667,9600,0.9384002685546875,0.42612973973271817,0.22429365996498743,-105.98828877232222,6.25
3,1.5410263538360596,-86.46355575384227,80.56295367367852,176.33406626599222,-187.9465346742711,6.25,2.6230660495050815,0.1,0.014625310897827148,0.29824328422546387,0.050841693,0.042005807,-108.16707672084453,-1.0245533995210703,-0.8646470189786033,6.25,9600,0.8779027462005615,0.24458165921342317,0.22452432115647583,-61.33991827981827,12.5
4,1.5071165561676025,-80.11695553817349,110.78125113927271,443.700977254091,-182.98413044520285,9.375,3.446624492769334,0.1,0.01475214958190918,0.364208459854126,0.048447564,0.033137016,-105.36206460257743,-1.0413889199399733,-0.8007505008916956,9.375,9600,1.051417350769043,0.43549900584035667,0.41224186813058,9.63635464284922,31.25
5,1.575387716293335,-75.20185012890808,109.23300273815455,415.0371220343738,-187.85194820601052,7.291666666666667,3.7944773477405853,0.1,0.015168905258178711,0.26703858375549316,0.052802276,0.025769167,-102.3460431552105,-1.0170919083266228,-0.7520899271398852,7.291666666666667,9600,1.0824275016784668,0.514096567342164,0.44208625997862644,127.39202802938384,50.0
6,1.8026151657104492,-68.16272447070968,117.8296200848686,357.41386164753425,-189.6578839388381,7.291666666666667,3.429064006002959,0.1,0.04412651062011719,0.3860752582550049,0.051401287,0.03076498,-98.92771128676041,-1.0105082201445026,-0.6812759801502574,7.291666666666667,9600,2.252608299255371,0.5014289253909274,0.4168018508630115,30.111184651437448,31.25
7,1.625607967376709,-84.25364437975729,81.30989429041449,252.42439517853467,-196.61084881902883,5.208333333333333,3.2460816036407887,0.1,0.015134096145629883,0.3737978935241699,0.052096378,0.03268007,-97.4603045960601,-1.0181606587072671,-0.8426934339188591,5.208333333333333,9600,1.4815773963928223,0.3894170327034944,0.27636828077763886,-23.592759498163435,6.25
8,1.5239934921264648,-55.806755277920246,114.01002758890895,479.54916844086557,-183.65867594348288,12.5,3.285512740176024,0.1,0.016134262084960938,0.37450504302978516,0.0568884,0.033125073,-93.29494966424612,-0.958590064715132,-0.5581201758608886,12.5,9600,2.090327739715576,0.6781234473624794,0.5340454792579163,-40.934756410894344,0.0
9,1.512972116470337,-18.342694124075702,127.4058233810541,425.0086039061189,-183.06080604867537,20.833333333333332,3.331838431308496,0.1,0.03168773651123047,0.41546010971069336,0.058737963,0.031150894,-85.79972411022908,-0.8548377957378458,-0.18310487419349264,20.833333333333332,9600,1.8614442348480225,0.7049948463893608,0.6387205092645577,-15.263223481831513,6.25
