iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.4636566638946533,-27.84435801749288,11.299138052893893,-4.9385014044651525,-68.51387994943644,0.0,3.04233092393176,0.1,0.06634759902954102,0.2852659225463867,0.04789656,0.02533284,-27.84435801749288,-0.25154659469024454,-0.26781002030467543,0.0,9114,0.6002058982849121,1.0074414335528932,0.3290241085857158,-16.348198274402318,0.0
1,1.2012138366699219,-26.098715006841015,11.264356466939455,-7.917390395916304,-61.343335156488465,0.0,3.6163779052596103,0.1,0.01726841926574707,0.3101222515106201,0.051084165,0.027254196,-27.669793716427694,-0.2318640170217862,-0.255576271562925,0.0,8935,0.6581549644470215,0.34095825487002596,0.1783389590838383,-18.68631107427248,0.0
2,1.2857377529144287,-18.011384313865587,12.247761025234173,7.132138302444961,-73.04059135658053,0.0,3.54814064748451,0.1,0.017592668533325195,0.3264427185058594,0.053754296,0.02773772,-26.703952776171484,-0.17106288833953184,-0.17997305561945445,0.0,9493,0.7068071365356445,0.375611468419526,0.274707543750679,-22.427005992989738,0.0
3,1.2424237728118896,-17.300477924758585,12.72535373875276,-4.383759739684531,-70.72398041603884,0.0,2.71422416560158,0.1,0.007251262664794922,0.2715606689453125,0.06194848,0.037061214,-25.763605291030196,-0.15127675670365318,-0.1729065694532104,0.0,9242,0.8581838607788086,0.33416292101796086,0.3152283444421837,-22.908725497714123,0.0
4,1.2899842262268066,-12.957879666454076,3.8620657507680365,-1.3278207613445747,-22.661108173420782,0.0,3.294051321236569,0.1,0.013059377670288086,0.27750611305236816,0.049012363,0.030022768,-24.48303272857258,-0.12990797010347235,-0.12949130343680568,0.0,9600,0.9016830921173096,0.17549901448639288,0.08865884501508459,-22.719342512642207,0.0
5,1.30344820022583,-11.713304729126357,3.901019758420917,0.03406526060620922,-27.549119916315917,0.0,3.6282999227116,0.1,0.012922048568725586,0.3018381595611572,0.049764745,0.027704045,-23.206059928627962,-0.1179002332237226,-0.11706689989038928,0.0,9600,1.2301931381225586,0.12718453046588163,0.11116279047584383,-19.361690425834183,0.0
6,1.3808586597442627,-11.381306860042164,3.6817155005074564,0.42741424724027355,-18.941485616970915,0.0,3.3666463766739487,0.1,0.011920928955078125,0.28517770767211914,0.045821168,0.038015686,-22.023584621769384,-0.11457272938638273,-0.11373939605304939,0.0,9600,1.3413972854614258,0.11670929199446946,0.10441619416782436,-13.252666412418986,0.0
7,1.3271598815917969,-10.81312325336593,3.4889575734428,0.793630650079664,-22.787402130511797,0.0,3.4632015734331065,0.1,0.011871576309204102,0.27378201484680176,0.057499677,0.028230915,-20.90253848492904,-0.10931895725298875,-0.10806895725298875,0.0,9600,1.297332763671875,0.11499044507782073,0.10773664042429579,-16.68464568500827,0.0
8,1.322983741760254,-10.196702645412573,4.096908493045261,12.516571067638552,-16.668507480312858,0.0,3.8546392375408836,0.1,0.011775732040405273,0.33134031295776367,0.050179753,0.027857443,-19.831954900977394,-0.10525500756300754,-0.1019216742296742,0.0,9600,1.7077720165252686,0.1739214559240653,0.16534755540915658,-16.825738999454448,0.0
9,1.3018438816070557,-9.798681865841237,2.6125742680881707,-1.5391683906618223,-17.881470035650445,0.0,3.373402884296044,0.1,0.018178224563598633,0.3047199249267578,0.060628314,0.030851714,-18.82862759746378,-0.0987722608986333,-0.09793892756529994,0.0,9600,1.8486785888671875,0.07328490999964149,0.06551274015708322,-13.491684633083597,0.0
