iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,5.720257759094238,-1052.0184640391599,1464.4481545934188,948.4270886336313,-5995.6623153119,0.0,2.318757286962476,0.1,0.05938076972961426,0.5053145885467529,0.05381118,0.042601112,-1052.0184640391599,0.21553856298208762,-5.268130858927936,0.0,19200,1.2401988506317139,1.0000523975300268,0.746893431056299,-4103.756514424554,0.0
1,5.9092912673950195,-911.6698302292698,1503.5692379697891,1031.502323341038,-8250.205791810577,0.0,2.716890917519322,0.1,0.060715675354003906,0.5137617588043213,0.05148882,0.03580969,-1037.9836006581709,0.1956813311873421,-4.569331951732672,0.0,19200,1.9275517463684082,0.8230446878064815,0.7257565795295301,-2744.706041572533,0.0
2,5.908463716506958,-930.9910020515237,1234.1405861297808,960.6549795630435,-4116.006412688189,0.0,2.8328270488952056,0.1,0.03726911544799805,0.5655391216278076,0.052627195,0.036052145,-1027.2843407975063,0.26056045493084407,-4.665317788386379,0.0,19200,2.5211057662963867,0.6710169807688704,0.640390418846473,-2115.851172168295,0.0
3,5.79864239692688,-551.3179766861484,903.3671240497098,1038.2841331938175,-3873.8374491953787,0.0,2.6581407679826152,0.1,0.02080249786376953,0.5721619129180908,0.05043993,0.03535027,-979.6877043863705,0.2569748855435068,-2.767505657973405,0.0,19200,3.4483211040496826,0.8409547617371884,0.6874150573095121,-1115.953761892118,0.0
4,5.909597873687744,-403.51229153312426,663.8849281607258,1024.9783114983973,-3404.4028606955267,0.0,2.5269284805948318,0.1,0.020312070846557617,0.5809307098388672,0.052935027,0.038492393,-922.0701631010459,0.18767286508275718,-2.028168759619625,0.0,19200,3.6043200492858887,0.8199480122098862,0.7263987220384518,-75.15947494674785,0.0
5,5.957823991775513,-298.8014416242731,594.2358276198004,1028.9741557706518,-2232.2639193081977,0.0,2.442539929424922,0.1,0.020985841751098633,0.5633680820465088,0.051980052,0.038971428,-859.7432909533686,0.31583021382720683,-1.5043444022381867,0.0,19200,3.2844934463500977,0.7347017496048608,0.7026811447337233,-40.415995943809094,0.0
6,5.953880071640015,-261.64430660049305,501.3160537549642,880.9676165759971,-2793.9754407328064,0.0,2.4479510023608,0.1,0.028723716735839844,0.5734589099884033,0.052298754,0.039759964,-799.9333925180811,0.2102391253693593,-1.3186259802228748,0.0,19200,3.8482303619384766,0.7011970924577816,0.6443965967689331,6.047755449318878,0.0
7,5.980046272277832,-169.73103075438277,322.75878496175693,906.1306939099286,-1540.9577288898652,0.0,2.428988888674342,0.1,0.04511618614196777,0.5305402278900146,0.04968971,0.039067972,-736.9131563417113,0.10550346321644088,-0.8589762307267126,0.0,19200,4.06964373588562,0.622471301939225,0.5068698406100668,21.711022196175854,0.0
8,5.840317010879517,-141.46873067979433,321.5274830972554,971.8144449518559,-1108.8523683462033,0.0,2.348656937146026,0.1,0.015066862106323242,0.6148314476013184,0.049050514,0.03985896,-677.3687137755196,0.13434250451892174,-0.7178230267799558,0.0,19200,3.3578808307647705,0.45283178196067075,0.368208544926777,12.527375056016652,0.0
9,5.830527067184448,-50.02081470462165,324.71514787210543,1044.580805272615,-757.5701933323528,0.0,2.268491303771137,0.1,0.017863750457763672,0.5620937347412109,0.04892871,0.03979187,-614.6339238684299,0.335207893595796,-0.2609112872174949,0.0,19200,3.564347743988037,0.2421078338556066,0.1572775976575937,2.8202138244728587,0.0
10,5.938984632492065,-97.61662761206198,252.19409853069982,837.7933014360935,-837.1080794345771,0.0,2.5072049165556276,0.1,0.01678323745727539,0.5782392024993896,0.050079204,0.039351102,-562.9321942427931,0.18759053584463836,-0.49854855170361073,0.0,19200,3.5157198905944824,0.18170592631951846,0.15291245823526461,-485.0125097977781,0.0
11,5.925704717636108,-61.87813271062256,254.77338284545,1121.9371679196595,-630.1254725799289,0.0,2.320879069454053,0.1,0.025255441665649414,0.6040894985198975,0.05087263,0.040236026,-512.8267880895761,0.30861466292024514,-0.3199480648280651,0.0,19200,2.8507637977600098,0.14154617303590855,0.13103412919326723,-562.615233971763,0.0
12,5.960460662841797,-41.27653318865825,301.6932704874344,949.4862281426006,-708.3102846952789,0.0,2.433480498202418,0.1,0.017991065979003906,0.5452139377593994,0.049036954,0.038867656,-465.67176259948434,0.3627809074529245,-0.2171264678331616,0.0,19200,3.269726514816284,0.18077089175508848,0.15308401400180688,-378.2813389135692,0.0
13,5.9565184116363525,-67.45529913593711,316.05261382851495,1069.7819508005475,-619.8913601184885,0.0,2.046317276170446,0.1,0.054327964782714844,0.5772299766540527,0.051364884,0.0434183,-425.8501162531296,0.21423529959155607,-0.34762709876233827,0.0,19200,3.730386734008789,0.0986648199632989,0.07097625106177832,-201.113340998033,0.0
14,5.8662779331207275,-95.79416233387211,257.8148343097328,875.2962368104086,-1226.6375382908293,0.0,2.5558069648545,0.1,0.01773238182067871,0.5975396633148193,0.046431065,0.03333955,-392.8445208612039,0.26075923458404715,-0.4896881951634799,0.0,19200,4.375585556030273,1.3547447527960514,0.817560712756173,-917.3307142166589,0.0
