iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,2.17134165763855,-344.36189625412254,20.803428138502124,-300.05703447263124,-389.4674021985249,0.0,0.7107186143766903,0.1,0.05593538284301758,0.3391838073730469,0.051733702,0.17294924,-344.36189625412254,-0.06760220823737818,-4.549504039535592,0.0,4721,0.6247091293334961,1.0008547346403884,0.18637282638683056,-500.59686567981953,0.0
1,2.151148796081543,-345.95689680754913,23.406990890625973,-297.5710753193009,-415.3175882820025,0.0,0.8765018679052755,0.1,0.06075739860534668,0.4400920867919922,0.049189612,0.1261591,-344.5213963094652,-0.06713076390998325,-4.5717935967241425,0.0,4778,0.4903135299682617,0.18695429608309652,0.09704408709370223,-488.7624182160135,0.0
2,2.2565574645996094,-347.5022337632129,22.929913995863142,-304.111369300103,-402.2228895097347,0.0,0.8894627790593596,0.1,0.013738393783569336,0.2551116943359375,0.051252652,0.117340036,-344.81948005483997,-0.0675812327724954,-4.590753613741929,0.0,4770,0.32207155227661133,0.09713890447777598,0.06475827603376526,-435.00144374552974,0.0
3,2.084351062774658,-341.8757500870254,19.75936258949607,-304.1582641262315,-411.56880233757676,0.0,0.9248164032389004,0.1,0.014441728591918945,0.38288068771362305,0.0527322,0.11921386,-344.5251070580585,-0.06643101107687667,-4.51620238427159,0.0,4769,0.3110485076904297,0.06266171158923292,0.03240067014247506,-409.2042125681485,0.0
4,2.00127911567688,-341.027925420043,23.08993819893034,-304.8869260373781,-415.6087578920033,0.0,0.8799055435457397,0.1,0.018047571182250977,0.27661776542663574,0.053005908,0.114282265,-344.17538889425697,-0.06747679618754905,-4.504408444266386,0.0,4683,0.5476114749908447,0.03333884715822274,0.01661650997216735,-415.0693484063873,0.0
5,2.060443162918091,-337.4705269317862,20.64099241549945,-291.5859145862088,-420.0938574556414,0.0,0.8144820934662749,0.1,0.06411123275756836,0.3576350212097168,0.049257115,0.1113564,-343.50490269800986,-0.06670263809052096,-4.457448771654287,0.0,4687,0.44973063468933105,0.015962454130655983,0.012221979863006603,-402.5369330804722,0.0
6,2.0245003700256348,-337.34297533372904,20.03940770603407,-295.5408705835111,-394.1571383354826,0.0,0.8822470521104576,0.1,0.04877281188964844,0.29299354553222656,0.051426105,0.11115848,-342.8887099615818,-0.06663850580320575,-4.45562827963165,0.0,4688,0.7615509033203125,0.011981007589530098,0.01054778216906828,-365.44203815894394,0.0
7,2.059596300125122,-332.486518150786,16.763903629665855,-295.0267098144903,-385.9667007976417,0.0,0.9501385341407248,0.1,0.04784512519836426,0.2034146785736084,0.052252896,0.110622175,-341.8484907805023,-0.06547449263631132,-4.39080311054953,0.0,4701,0.6088919639587402,0.009791138287333079,0.008609544895345217,-384.4022792391474,0.0
8,2.13440203666687,-329.92538324706965,18.431336285972055,-291.516901038829,-383.13370679612996,0.0,0.9154949752847374,0.1,0.014385223388671875,0.5863518714904785,0.05071302,0.12166699,-340.65618002715905,-0.06545194574197148,-4.357111213132799,0.0,4663,0.44814062118530273,0.00950531388798579,0.008653526663113384,-364.6191116134836,0.0
9,2.1709890365600586,-326.8098925983024,16.05460530092097,-290.6504513003891,-375.79885471305545,0.0,0.8897124997348544,0.1,0.012916326522827148,0.38712549209594727,0.04803269,0.11956104,-339.2715512842734,-0.06503882104970869,-4.314848689494909,0.0,4649,0.7012031078338623,0.008307462352083548,0.0076603064772756925,-375.00702316307195,0.0
10,2.144287586212158,-324.6722082127563,15.032248486956307,-289.23779326086964,-361.797191415448,0.0,0.9402263008876441,0.1,0.01595473289489746,0.33469295501708984,0.05081905,0.13156024,-337.81161697712173,-0.06511478519489837,-4.287090406913868,0.0,4609,0.80491042137146,0.007840141824264298,0.007349428690122928,-390.57442658552213,0.0
11,2.2099905014038086,-324.3556683867817,18.795471186328488,-283.358508070884,-394.7283398269749,0.0,0.9706685773991243,0.1,0.012833595275878906,0.3932492733001709,0.05076801,0.107514575,-336.4660221180877,-0.06496658893861473,-4.282819582546442,0.0,4615,1.080772876739502,0.008509272092568413,0.00815990307541907,-379.04373349727365,0.0
12,2.0061287879943848,-322.3328180424844,15.440627550551143,-289.4972989831519,-367.1257403321559,0.0,0.9896044029923038,0.1,0.024407386779785156,0.43945860862731934,0.050861876,0.10744234,-335.0527017105274,-0.06539435490609148,-4.254671087269037,0.0,4553,0.942436933517456,0.007512737635465605,0.007142332364154945,-363.0201556069244,0.0
13,2.0337138175964355,-319.6694600576927,15.760739258323442,-288.1228282636714,-368.04187930873667,0.0,0.9148421221680821,0.1,0.014818906784057617,0.3453664779663086,0.05137554,0.11942338,-333.5143775452439,-0.0649827272435724,-4.220058957954887,0.0,4544,1.0307161808013916,0.007434943335300592,0.007151126681663995,-362.60675548511387,0.0
14,2.0475049018859863,-318.4786484180258,15.063565893417064,-274.88320823829736,-359.5590742825671,0.0,0.9041113800282726,0.1,0.013256311416625977,0.3769693374633789,0.050711013,0.12278231,-332.0108046325221,-0.0655596924698197,-4.204631320349486,0.0,4487,1.1526577472686768,0.0071441936022716415,0.006885268011546355,-354.6901994912862,0.0
15,1.990781545639038,-318.02861539789626,17.035444239657043,-284.68619159100547,-393.3831861264774,0.0,0.9279024131906485,0.1,0.06418251991271973,0.4130561351776123,0.0518422,0.119504854,-330.6125857090595,-0.06524551513212191,-4.198045101238735,0.0,4501,1.1591870784759521,0.007572548303870226,0.007277554626311852,-336.63658939488465,0.0
16,2.0192384719848633,-317.06541958578856,14.662501678426077,-287.34292226690513,-355.50949853528556,0.0,0.8876985033768726,0.1,0.014597177505493164,0.4850592613220215,0.05157999,0.12360095,-329.2578690967324,-0.0653948270603567,-4.186241291606684,0.0,4477,0.9099619388580322,0.006717932036934663,0.0064477980595908915,-338.6298737682436,0.0
17,2.0888569355010986,-316.1257632824018,14.454583530470563,-279.524987450794,-352.78358394172864,0.0,0.9138039069942548,0.1,0.03243136405944824,0.3423287868499756,0.049777694,0.12293819,-327.94465851529935,-0.06641195355401729,-4.172965100401754,0.0,4395,1.0225915908813477,0.006419358022046054,0.006132722897986227,-310.3828722205884,0.0
18,2.1202356815338135,-315.6375515908291,14.698466287654519,-284.8377131490084,-365.5160753933948,0.0,0.9419911594688911,0.1,0.02814459800720215,0.34688544273376465,0.05016873,0.11180533,-326.71394782285233,-0.06561231864453972,-4.166399650191998,0.0,4440,1.0139715671539307,0.006185207897387717,0.005911096994627002,-318.72394599072857,0.0
19,2.186634063720703,-318.4750522838693,13.140092238852711,-286.1463214042996,-354.884140070379,0.0,0.8943032130349698,0.1,0.015043497085571289,0.42994117736816406,0.051200703,0.12162968,-325.890058268954,-0.06567020050085123,-4.203804923107643,0.0,4477,0.8513267040252686,0.005706782079887555,0.005400229698191708,-335.5442777711164,0.0
20,2.075181245803833,-313.2889480806952,13.538975556492327,-282.6429480788303,-352.4592066905213,0.0,0.9476400279651187,0.1,0.03144431114196777,0.33703088760375977,0.049757943,0.11265413,-324.6299472501281,-0.06547068990953274,-4.135668177132725,0.0,4416,0.9396467208862305,0.006127549702871123,0.005504148149724262,-335.0696252389093,0.0
21,2.1676712036132812,-312.4006097477056,14.788189874061464,-281.46145199350826,-355.80797205418844,0.0,0.9659703046891238,0.1,0.050698280334472656,0.5016324520111084,0.05030565,0.11117171,-323.4070134998859,-0.06536955634063382,-4.123495636187371,0.0,4412,0.9110329151153564,0.0057485809727748464,0.005526814778288713,-306.02230396410994,0.0
22,1.9535131454467773,-311.4100371284352,14.160012804937724,-275.81955245413894,-337.34458013555695,0.0,0.8967546505333021,0.1,0.045529842376708984,0.319049596786499,0.05139778,0.122033544,-322.20731586274087,-0.06581828649038383,-4.109400302018151,0.0,4364,1.0826799869537354,0.005699438712593844,0.005484235079160411,-336.04634220815853,0.0
23,1.9486844539642334,-311.0629399656849,12.731339395517725,-276.9007787321877,-346.33810584731947,0.0,0.9335554037506703,0.1,0.07005643844604492,0.33703136444091797,0.050005645,0.10971598,-321.09287827303524,-0.06583409989849981,-4.105418473630316,0.0,4358,0.671048641204834,0.005107012640593782,0.004862673634445942,-354.04694135344863,0.0
24,1.9330003261566162,-309.270698950655,14.489550630305233,-279.07569864348574,-350.38466285607973,0.0,0.9071612931156969,0.1,0.012960672378540039,0.4284858703613281,0.050789054,0.1185203,-319.9106603407972,-0.06619275545698733,-4.080802355632428,0.0,4308,0.9001097679138184,0.005544019099482818,0.005239517991318364,-364.5159673939892,0.0
25,1.9443094730377197,-309.72252139443634,14.699221435324592,-280.8074077977168,-343.4424877637567,0.0,0.8525988198175575,0.1,0.05461931228637695,0.4027705192565918,0.04943904,0.122314,-318.89184644616114,-0.0660600464303547,-4.087918496270922,0.0,4323,0.9501850605010986,0.005532911551628177,0.005368854325705492,-342.8617802248082,0.0
26,1.9469964504241943,-309.74137000294076,12.347515904016094,-282.9438208054456,-334.57025361285025,0.0,0.9070180735512565,0.1,0.08363866806030273,0.3743164539337158,0.050851565,0.12064974,-317.97679880183915,-0.06655236166198783,-4.087960185875013,0.0,4292,0.8877468109130859,0.004595165239677483,0.0044032202270995495,-343.7156846604444,0.0
27,1.9141504764556885,-307.27409171598293,13.485241498368188,-280.011551973281,-344.3315262723494,0.0,0.9065861844970445,0.1,0.048069000244140625,0.40823864936828613,0.05122993,0.11478053,-316.90652809325354,-0.06619272725677233,-4.055272267723579,0.0,4279,0.9342703819274902,0.004717072165145738,0.004497774851014516,-332.16430699212094,0.0
28,2.004899024963379,-305.2583596487655,13.639801461703117,-275.80839117013414,-334.3469371520987,0.0,0.9089453215499437,0.1,0.05063962936401367,0.44333386421203613,0.04964903,0.113145135,-315.74171124880473,-0.06661270022505399,-4.0282456571711585,0.0,4224,1.0357556343078613,0.004785068207369652,0.004602866547861262,-344.0341686529424,0.0
29,2.0096988677978516,-307.5727662615722,14.31582762961992,-274.77232912883255,-370.4931930641567,0.0,0.9013616004429059,0.1,0.032025814056396484,0.31461358070373535,0.050844952,0.118319176,-314.9248167500815,-0.067250145098666,-4.05888392540063,0.0,4216,0.8919925689697266,0.004633576429202133,0.004386166273435542,-331.06816716845344,0.0
30,2.0043625831604004,-305.277027320488,13.001498236212372,-274.0225634881128,-342.9219656241789,0.0,0.9178796755924643,0.1,0.05490422248840332,0.2645072937011719,0.051254682,0.11258478,-313.96003780712215,-0.06691159171215409,-4.028222002905521,0.0,4204,0.7250750064849854,0.004309250183041637,0.0040536429957904125,-335.68915625076784,0.0
31,2.0883731842041016,-305.8700353383661,13.387705686525578,-276.96900814769845,-345.7169885181757,0.0,0.9177805623448144,0.1,0.013878107070922852,0.4521334171295166,0.05073369,0.11833568,-313.15103756024655,-0.06691998330992573,-4.03649885246178,0.0,4212,0.7654814720153809,0.004116443294584437,0.003986917637002722,-300.922087771264,0.0
32,1.8755865097045898,-305.37829099878894,11.98959397157883,-278.62358782918847,-332.3999472390133,0.0,0.910211266041441,0.1,0.015068292617797852,0.44860005378723145,0.04992213,0.11635181,-312.3737629041008,-0.06760954326071884,-4.029337319735384,0.0,4162,0.854799747467041,0.0038189200871252696,0.003581456460042496,-314.78480529310866,0.0
33,1.8529558181762695,-301.7035387276812,13.990698215235104,-272.6079869368498,-332.2031332804368,0.0,0.9227851615921991,0.1,0.012584447860717773,0.3486967086791992,0.0504418,0.1138889,-311.3067404864588,-0.06715800223014358,-3.980984975009098,0.0,4138,0.8634328842163086,0.0046598092664073484,0.0042484341302250275,-307.1357494395823,0.0
34,1.8728492259979248,-306.1524058050453,13.121862233842553,-273.8990496357675,-345.0005672974973,0.0,0.9548852155527638,0.1,0.029162168502807617,0.4364011287689209,0.049564093,0.106485225,-310.79130701831747,-0.06764529544629568,-4.039310647159209,0.0,4171,0.9508659839630127,0.004097662073681324,0.0035598034285227098,-305.5279122565237,0.0
35,1.841048002243042,-303.5431572469854,13.982953686539712,-274.6471303731688,-333.37172875844317,0.0,0.9361840330549966,0.1,0.015503644943237305,0.3574860095977783,0.049575556,0.114474915,-310.0664920411843,-0.06772625506255564,-4.00555898735534,0.0,4129,0.9518072605133057,0.004264492965120591,0.0039319760496405644,-315.8581483095192,0.0
