iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,3.8775415420532227,-314.77455310621434,96.32483623638097,-35.942827537405286,-503.68374303990856,9.375,0.7979080147322071,0.1,0.20737171173095703,1.656562328338623,0.059883583,0.14969638,-314.77455310621434,-0.056338191377092006,-4.154473690246422,9.375,5669,0.8149876594543457,1.0008636367405972,0.14179578087392386,-526.8314779036989,0.0
1,4.091702699661255,-316.37603504141515,91.98499534817235,-53.478289911896276,-461.0454496480404,8.333333333333334,0.9449748498982639,0.1,0.08164358139038086,0.756645917892456,0.05081355,0.10936272,-314.9347012997344,-0.05564750001921772,-4.176657245548509,8.333333333333334,5827,0.5261600017547607,0.13012419330836392,0.10435512282753343,-509.54952060036686,0.0
2,4.232685089111328,-315.9699236896527,104.10740831220046,64.95333166107565,-501.9664447907619,5.208333333333333,0.9578938047007735,0.1,0.05351734161376953,1.2572615146636963,0.059342895,0.113076836,-315.03822353872624,-0.054971858035799785,-4.1711268782121325,5.208333333333333,5915,1.2557649612426758,0.11737029616385274,0.0923572458507986,-516.1260829174531,0.0
3,3.885202646255493,-316.38024942341457,93.99622797481351,-1.4501028851509759,-473.3748491701814,8.333333333333334,0.9544587543890529,0.1,0.09534573554992676,2.13972544670105,0.053651396,0.1071325,-315.1724261271951,-0.056088701421637556,-4.175944951637426,8.333333333333334,5787,1.011040449142456,0.0822846829959696,0.06882315990845835,-468.31842364232944,0.0
4,3.957549810409546,-317.67774395003715,97.28193022728705,80.6502537725554,-546.9419395917702,3.125,1.039397453316722,0.1,0.03669452667236328,1.646336317062378,0.051739987,0.09932849,-315.4229579094793,-0.055790374579800704,-4.193718224358755,3.125,5809,0.8337428569793701,0.07841598793502624,0.07549699269229705,-484.03655182801623,0.0
5,3.8176004886627197,-303.39821242621747,91.80178858707002,52.17917780153812,-493.1711439536972,5.208333333333333,0.9778158120053426,0.1,0.06104302406311035,1.1874053478240967,0.052308343,0.10320355,-314.2204833611531,-0.055599070897870216,-4.0044521223180745,5.208333333333333,5606,0.5324380397796631,0.07746290805729039,0.07326837231990713,-452.172699469362,6.25
6,3.7831366062164307,-304.55794482827235,96.05623673134406,-36.38364074757882,-508.549175838174,7.291666666666667,1.016477511772393,0.1,0.08038496971130371,0.7032244205474854,0.04945981,0.10220104,-313.254229507865,-0.056686226977361275,-4.018802935662582,7.291666666666667,5553,0.6910040378570557,0.07689231991085017,0.07530374123334606,-430.4180163565254,6.25
7,3.9457056522369385,-306.5308097021328,97.03494710772459,48.14894467171422,-450.6764423384073,5.208333333333333,0.9681457461894031,0.1,0.03261375427246094,1.712862253189087,0.04953246,0.11414629,-312.58188752729177,-0.05642824899658883,-4.045127163543722,5.208333333333333,5570,1.1999175548553467,0.07260489390409756,0.0712075570104859,-398.84888471057457,6.25
8,4.02217960357666,-311.0859138656504,87.54636104316518,-59.72315267383996,-484.7811796043087,8.333333333333334,0.9783176896858644,0.1,0.04194164276123047,1.5939934253692627,0.050323643,0.10890679,-312.43229016112764,-0.05648897532915173,-4.105770560445335,8.333333333333334,5617,1.3711702823638916,0.05636681043493231,0.05493442814455935,-438.2722007933048,6.25
9,3.8905606269836426,-315.90779353375143,90.06560532393394,-13.663364961663177,-471.9780590614438,3.125,0.9503500742375363,0.1,0.03669285774230957,0.668755292892456,0.050392527,0.1110471,-312.77984049839,-0.056998971062951154,-4.16969789530054,3.125,5576,1.4948720932006836,0.06771444776560552,0.06640805013819483,-459.9859426503318,0.0
10,3.9581356048583984,-313.333273787041,88.40687477252607,-52.46078893509755,-509.1801291867817,4.166666666666667,0.9785515867580494,0.1,0.043584585189819336,1.7223119735717773,0.05192744,0.112135775,-312.8351838272551,-0.056679706179047905,-4.135773320949759,4.166666666666667,5581,1.924382209777832,0.06012599558314666,0.059356219723232045,-476.1685252319485,0.0
11,4.047208786010742,-297.9045358908155,103.9639756482182,23.79428809801322,-528.9315331302311,5.208333333333333,1.0399816225345482,0.1,0.02718639373779297,1.5639631748199463,0.04928464,0.09983668,-311.34211903361114,-0.05608664482153975,-3.9303209846185694,5.208333333333333,5526,1.5340607166290283,0.08449750003566471,0.08228597407201736,-445.22447161484854,6.25
12,3.6769204139709473,-318.9592760429018,82.48116820236208,-47.62628762644452,-478.9172125442007,5.208333333333333,1.0503268055731918,0.1,0.04736804962158203,1.2780897617340088,0.052403927,0.10839107,-312.1038347345402,-0.058248954835783275,-4.210479502739241,5.208333333333333,5415,1.6955528259277344,0.05143062563889376,0.046266083835270505,-440.75075331575414,6.25
13,3.7940354347229004,-314.1637793597286,84.32116840269883,-99.65526924447204,-483.0260982821876,5.208333333333333,0.9629719298640385,0.1,0.052375078201293945,0.5206501483917236,0.050969463,0.11178811,-312.3098291970591,-0.05650503391482503,-4.145912291391897,5.208333333333333,5594,1.8529095649719238,0.05209580026207265,0.051753891958600244,-458.5332475261596,6.25
14,3.1192798614501953,-295.83418364423886,84.1263756319654,-62.16394117800276,-444.52209685168293,7.291666666666667,1.015773486716065,0.1,0.09689807891845703,1.9604341983795166,0.051951405,0.10793573,-310.6622646417771,-0.05544236968228398,-3.9049421339716,7.291666666666667,5468,1.3569488525390625,0.06027936311839053,0.05408310471418844,-430.7794701772728,6.25
15,2.7459309101104736,-303.13279932827464,90.7460790823707,-92.21782077312679,-480.53297106256235,7.291666666666667,1.0150932098966483,0.1,0.10392999649047852,1.3930187225341797,0.04912132,0.10358077,-309.90931811042685,-0.05544068895478537,-3.9996839755513958,7.291666666666667,5625,2.071692943572998,0.06601991282464585,0.06526844931754977,-426.82039607140985,6.25
16,3.774599313735962,-304.1974141465052,94.72389816614812,-11.886188183261659,-534.4745416088374,7.291666666666667,0.9938049536422683,0.1,0.09366321563720703,1.037412166595459,0.052433275,0.10987485,-309.33812771403467,-0.05675390055858543,-4.012216026914646,7.291666666666667,5482,1.8843977451324463,0.06774701191285461,0.06639315743628338,-403.97044812743314,6.25
17,3.877383232116699,-320.074241971965,89.77326837806501,18.303836206852736,-479.066471370148,5.208333333333333,1.0156492334863534,0.1,0.08451390266418457,1.652277946472168,0.050787203,0.11236232,-310.4117391398277,-0.05768239824579722,-4.2260705671000105,5.208333333333333,5521,1.988572359085083,0.06119030188030754,0.05859441604548954,-335.45730402271175,0.0
18,3.827299118041992,-313.484428426306,83.79035607618219,-38.148329699625336,-444.5321131575251,8.333333333333334,1.0246591158317453,0.1,0.09216189384460449,1.7259888648986816,0.049257938,0.10152804,-310.71900806847555,-0.05797903100818297,-4.138246568467684,8.333333333333334,5432,1.9627313613891602,0.053117169087975445,0.05206403485875681,-292.1021811979386,0.0
19,3.953364849090576,-290.25630732424503,98.73678699841363,32.19959240551434,-443.5046898307471,6.25,1.0364468361776447,0.1,0.04637289047241211,1.0392816066741943,0.05066564,0.10809666,-308.67273799405245,-0.054973728416496316,-3.8276179326497144,6.25,5552,2.0344932079315186,0.08132975238344547,0.0765647525193304,-348.30265758630173,0.0
20,3.842531204223633,-305.3433234791028,85.82788024543026,-74.68935408247364,-474.96106649949706,6.25,1.0112271793423253,0.1,0.07123088836669922,0.3668205738067627,0.04967496,0.10760166,-308.3397965425575,-0.05726641161474295,-4.029209152856683,6.25,5450,2.0856430530548096,0.05881699537370303,0.05539069012214887,-358.6634505349311,6.25
21,3.986116886138916,-292.44357699729187,94.75544762930036,5.353276553771288,-473.37971399898163,6.25,1.026124754910639,0.1,0.0939171314239502,2.009514570236206,0.048811253,0.10748616,-306.7501745880309,-0.05515790964972964,-3.8580149798330887,6.25,5528,1.7458314895629883,0.06515926110751608,0.06294611953817726,-336.4862276826125,6.25
22,3.522367000579834,-301.05253605976037,83.11826349878561,-31.147604023649542,-432.58113513131786,4.166666666666667,1.0442109985799695,0.1,0.06011319160461426,0.993671178817749,0.050372753,0.100951016,-306.18041073520385,-0.056561957017912,-3.9715424696594983,4.166666666666667,5436,1.8945508003234863,0.055229442210747846,0.05437344022574329,-275.1749113447029,6.25
23,3.68271541595459,-302.2679300583931,99.15057572481818,44.80296885397154,-472.70825649191613,7.291666666666667,1.001184613091286,0.1,0.07352638244628906,0.8341464996337891,0.05015752,0.11416217,-305.78916266752276,-0.05687810660325382,-3.988693059780816,7.291666666666667,5443,1.7484257221221924,0.06938387094265724,0.06836733582647936,-287.51140494164764,6.25
24,3.5352118015289307,-294.1373332607054,95.4544295208063,46.29135524201325,-473.71304802918166,4.166666666666667,1.0964606332130522,0.1,0.07230377197265625,1.6349544525146484,0.049957782,0.10478949,-304.623979726841,-0.056630742858766736,-3.8799250040844293,4.166666666666667,5380,2.135443687438965,0.06544282472289965,0.06473425205718086,-348.6433802696637,6.25
25,3.5154149532318115,-289.81528912117454,92.30747435790609,-9.943398664234863,-436.8661263065249,7.291666666666667,1.0495925596809892,0.1,0.06577491760253906,1.820300817489624,0.04998706,0.100481726,-303.1431106662744,-0.05582833824883835,-3.8223544342776137,7.291666666666667,5414,1.4630019664764404,0.06554177505465748,0.06407018387526801,-230.9233621429374,6.25
26,3.773348093032837,-302.13903259838287,76.82772587441595,-49.28074499409004,-453.8963230092438,3.125,1.034763932221454,0.1,0.07615494728088379,1.941234827041626,0.0515359,0.109944545,-303.04270285948525,-0.0575920903248901,-3.9872474105064106,3.125,5277,1.9960813522338867,0.049172342718514644,0.04782415946066656,-351.17385814776515,0.0
27,3.833674192428589,-285.0500854306834,105.37632354198847,25.378252674620384,-499.6732210416664,13.541666666666666,1.0418958344055627,0.1,0.054850101470947266,0.5998039245605469,0.051014602,0.106885254,-301.2434411166051,-0.05568158145882072,-3.7573093501447583,13.541666666666666,5428,1.873687744140625,0.09425622146710623,0.09067891245990091,-291.4844327653557,0.0
28,3.7326321601867676,-280.5884095345782,99.24005023730336,1.6741666011227139,-504.1142530644174,8.333333333333334,0.9846303200940344,0.1,0.026149749755859375,1.5997202396392822,0.04969817,0.11086752,-299.1779379584024,-0.05615594251916397,-3.6990806205959372,8.333333333333334,5270,1.8468306064605713,0.08427428726189211,0.08341495109588482,-265.8315729635268,6.25
