iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.7489728927612305,-28.308532995484992,4.820291583692848,-18.497432554441545,-39.10586395608321,0.0,0.7410981627284727,0.1,0.13556909561157227,0.7165501117706299,0.056115773,0.13849805,-28.308532995484992,-0.202944848684368,-0.5653387060588114,0.0,4800,0.6949868202209473,1.0058630862290334,0.19340122915621455,10.808342765903282,0.0
1,1.7218656539916992,-27.685099103177844,4.203214568417079,-16.425040756260398,-37.20386219155047,0.0,1.0431583966974844,0.1,0.06944155693054199,0.6954033374786377,0.05185296,0.096731715,-28.24618960625428,-0.18998701603323576,-0.5528743669043186,0.0,4800,0.616621732711792,0.1920232478172795,0.03834168427492589,8.383901778817233,0.0
2,1.9810676574707031,-27.199059637152363,4.020392943611348,-14.72713006617567,-38.11256147180704,0.0,1.0067641440449464,0.1,0.11416864395141602,0.6585397720336914,0.0527462,0.097961605,-28.14147660934409,-0.18113512484405211,-0.5430951580911895,0.0,4800,0.3566548824310303,0.03547650013560371,0.025915554571464113,14.935688023728675,0.0
3,1.6205613613128662,-25.409871123769108,3.886594187187285,-16.77314735883272,-37.70829073906909,0.0,1.0263585234360837,0.1,0.061486244201660156,0.461162805557251,0.053281307,0.099516585,-27.86831606078659,-0.14745161385396974,-0.5074211994195297,0.0,4800,0.6466660499572754,0.035007489741737834,0.025593965336653937,18.012292203218628,0.0
4,1.762382984161377,-22.560875688060538,4.509075743640387,-12.496210627236865,-32.54240025489893,0.0,1.038268585357973,0.1,0.05443835258483887,1.045182228088379,0.05218317,0.098347016,-27.337572023513985,-0.0904244981354328,-0.4506514450030668,0.0,4800,0.33973169326782227,0.05443171611586223,0.040886218873560545,21.498165752557934,0.0
5,1.5554816722869873,-20.407857078569723,4.435730079248138,-11.673228246071947,-31.682209833986427,0.0,1.0307436359878128,0.1,0.09321928024291992,0.6550567150115967,0.053616956,0.09532538,-26.64460052901956,-0.05023352523382859,-0.40767418160986724,0.0,4800,0.5226936340332031,0.05477730687711344,0.046195683536090944,23.171856033851494,0.0
6,2.0261645317077637,-17.997335934679743,4.449412873308879,-7.09000083115286,-31.095494183677953,0.0,0.9960389330289693,0.1,0.18664169311523438,1.0697870254516602,0.053344566,0.10171961,-25.779874069585578,-0.002256247777914933,-0.359816128500775,0.0,4800,0.5638918876647949,0.0725696465988052,0.060880042918163006,23.838285976775058,50.0
7,1.6869289875030518,-15.410330112435696,4.169518722539694,-6.758282301860802,-25.107335699681148,0.0,1.0378008695202037,0.1,0.02364039421081543,2.0867297649383545,0.05337107,0.09261749,-24.742919673870592,0.04812735164094268,-0.30808479224513374,0.0,4800,0.49735498428344727,0.09992002335444981,0.06589746785129441,124.37355172639121,100.0
8,1.6971862316131592,-12.571226540945005,4.016820258939658,-4.065260874754761,-22.96502737126734,0.0,1.0024250459250712,0.1,0.09015369415283203,0.4129002094268799,0.053761788,0.100665934,-23.525750360578034,0.10432243940482883,-0.25135383561405944,0.0,4800,0.3317110538482666,0.1346784128158692,0.09682613335263439,195.14847275675635,100.0
9,1.755072832107544,-8.939635520199444,3.3651611391533076,-1.450063389160472,-19.11549312436999,0.0,0.998455162807631,0.1,0.022881746292114258,0.36475419998168945,0.052944165,0.10506569,-22.067138876540174,0.17441077053656073,-0.17879836101409227,0.0,4800,0.5571212768554688,0.23116490511583299,0.1366230762854972,305.2736146608464,100.0
10,1.5547044277191162,-6.884861847419599,3.5663363337845686,2.732985945511604,-15.040520018173968,0.0,1.011126344411961,0.1,0.08591818809509277,0.571692705154419,0.053048532,0.10704437,-20.548911173628117,0.21444808272824456,-0.13770299133978878,0.0,4800,1.0387518405914307,0.29111865532425013,0.23280497527670632,364.63479171846615,100.0
11,1.6037862300872803,-4.073482374706401,3.7751448495482176,5.594419332353361,-13.687634256633752,0.0,1.0316465235598102,0.1,0.08740568161010742,0.18418359756469727,0.051951353,0.10249732,-18.901368293735946,0.268126105764622,-0.08159729814930917,0.0,4800,1.0302200317382812,0.6849863820588841,0.4199014741890415,254.04868441578532,100.0
12,1.533080816268921,-0.6580958126937897,3.3993629337653406,7.737997582847571,-9.205075546739428,0.0,1.0613544206908325,0.1,0.09363985061645508,0.8243231773376465,0.052917615,0.0979189,-17.077041045631727,0.335999117588035,-0.013222251922213915,0.0,4800,1.281327247619629,0.944337986299213,0.5510634755669646,243.5686696447464,100.0
13,1.6173982620239258,0.958812041401024,4.5337575149173315,9.194875332840018,-12.769783406682276,1.0416666666666667,0.9903629347243571,0.1,0.05562472343444824,1.3880972862243652,0.0539591,0.09618642,-15.273455736928453,0.3666188190994437,0.01899530062847885,1.0416666666666667,4800,1.2338588237762451,0.5313726556323801,0.40647353592285584,243.19182426207027,100.0
14,1.7068607807159424,4.522411509146019,3.7254348453089254,11.295747353628753,-5.251629343899339,7.291666666666667,1.068635901400029,0.1,0.0768437385559082,1.038130521774292,0.051673368,0.094273545,-13.293869012321005,0.43675413289602444,0.09037031444684367,7.291666666666667,4800,1.1603879928588867,0.29530230877634955,0.18227782917412788,312.8278892019394,100.0
15,1.6549160480499268,5.995966158616579,7.250509948478985,30.07685326564473,-48.68540984849672,20.833333333333332,1.081803199938757,0.1,0.12092709541320801,0.600135087966919,0.052682027,0.07066523,-11.364885495227247,0.46407206062467393,0.12014683570771385,20.833333333333332,4798,0.959954023361206,0.5580908193128482,0.539544344132813,312.5962247846031,100.0
16,1.9681932926177979,10.529514348583389,13.92996564359461,110.61574005150258,-1.4287172054400283,12.5,0.5983750445274926,0.1,0.013399839401245117,0.3437683582305908,0.019168656,1.9696633,-9.175445510846185,0.5065453179403331,0.210533039926557,12.5,4800,1.1972453594207764,0.666211168801057,0.6022503018286154,262.8207795234122,100.0
17,1.6965827941894531,12.528585289402782,22.440047659131665,212.36277049860828,0.31883700238495377,20.833333333333332,1.0173115457955353,0.1,0.013899803161621094,0.275421142578125,0.049162216,0.2856586,-7.005042430821289,0.5169210300179435,0.2503596330540108,20.833333333333332,4800,1.4867069721221924,0.7594062342510013,0.7449734633200594,312.3682737534074,100.0
18,1.8846111297607422,23.893175957070202,64.59196317287702,452.0271800942919,-2.8620647350407546,23.958333333333332,1.064330703077731,0.1,0.0910029411315918,0.41745615005493164,0.04863455,0.14025629,-3.91522059203214,0.5234211171401185,0.4651332400616295,23.958333333333332,4798,1.2544183731079102,0.8974065925522613,0.8582214844482243,252.0564114197245,100.0
19,1.5087802410125732,25.62546015200786,71.05754281688482,602.5759065956566,-1.505081206813534,23.958333333333332,1.135809017545757,0.1,0.08718490600585938,1.0815529823303223,0.04923043,0.12588763,-0.9611525176281397,0.5258750430378032,0.5126925868058848,23.958333333333332,4800,1.2306838035583496,0.8771619801261042,0.8723954192098329,312.19855232127657,100.0
20,1.517266035079956,58.5639428523448,125.55163749663032,573.0583891030021,-0.622259099748214,29.166666666666668,1.1303846772407318,0.1,0.09386539459228516,0.5241265296936035,0.050652254,0.11755328,4.991357019369155,0.531148152434632,1.1714213387142192,29.166666666666668,4800,1.064603328704834,0.8405755986711724,0.7627653742919637,311.83417283238543,100.0
