iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.537445068359375,-18.69224474050625,54.28922317249781,437.50801842264195,-64.81556532826971,1.0416666666666667,0.7553397188582301,0.1,0.18665003776550293,0.8154613971710205,0.05387783,0.41254628,-18.69224474050625,-0.14215986031989278,-0.3732472942692395,1.0416666666666667,4800,0.3781776428222656,0.9997393188724283,0.7517599563794994,35.224769024446736,0.0
1,1.7501940727233887,-22.57614625887827,32.69646906923739,186.83565693464877,-63.12259003971376,0.0,1.080114281013049,0.1,0.09528303146362305,0.9892544746398926,0.052962836,0.10641369,-19.080634892343454,-0.15962580489135217,-0.45084807470371174,0.0,4800,0.8988602161407471,0.5317578501390802,0.2650604709151264,45.85402043279936,0.0
2,1.6245989799499512,-25.62860752880528,24.625459416328173,99.05658607579618,-63.03418590773161,0.0,1.087548146720363,0.1,0.08339595794677734,0.4248526096343994,0.05096346,0.100222915,-19.73543215598964,-0.17451197899033324,-0.5114387471786787,0.0,4800,0.35434579849243164,0.12632000675154725,0.04938406610186547,39.42765506174727,0.0
3,1.5664138793945312,-25.720389538215937,27.234873475424063,60.586324418365464,-62.44381915717039,2.0833333333333335,0.9416576231543542,0.1,0.09578752517700195,0.704056978225708,0.044204164,0.16080327,-20.33392789421227,-0.20444110145955596,-0.5132892998608422,2.0833333333333335,4800,0.47331953048706055,0.09881590393893866,0.078482064718316,39.970181387811586,0.0
4,1.5581772327423096,-17.792333410775875,42.97547475865687,268.133945648989,-60.36627955142896,1.0416666666666667,0.9739903137400744,0.1,0.08843445777893066,0.5707695484161377,0.05275226,0.35668972,-20.07976844586863,-0.1278754460217765,-0.3545737577946117,1.0416666666666667,4800,0.43448948860168457,0.42619135328096075,0.3980514795809368,50.45744672455787,0.0
5,1.5780129432678223,-17.055322148480005,55.00022876188341,333.62657865524466,-61.24641460681503,1.0416666666666667,0.9371647962078564,0.1,0.040642738342285156,0.46991658210754395,0.05296334,0.25114566,-19.777323816129766,-0.14762583812535024,-0.34004184954473193,1.0416666666666667,4800,0.5401756763458252,0.5383015792418461,0.5056802253564844,24.401980250298823,0.0
6,1.5761733055114746,-26.89764476481407,26.293965477309836,98.76963058221749,-62.884790727664864,0.0,1.0001561933056344,0.1,0.02465963363647461,0.377948522567749,0.051423106,0.23633604,-20.489355910998196,-0.20500849275570823,-0.5366929198282918,0.0,4800,0.5235903263092041,0.07325408740197717,0.03003675425309227,34.07093255436802,0.0
7,1.6962780952453613,-19.90019310147184,51.82421661590956,388.3891777418685,-61.34385424958406,1.0416666666666667,0.9490777255817515,0.1,0.07689714431762695,0.7278773784637451,0.049971767,0.23715223,-20.43043963004556,-0.17442070471545604,-0.3969612080553913,1.0416666666666667,4800,0.5455994606018066,0.4155137418828435,0.3767677795039723,26.105241809855062,0.0
8,1.7261273860931396,-4.7480548363332975,80.05630071498516,504.85525362144585,-60.58530272898335,4.166666666666667,1.130453287432073,0.1,0.0783381462097168,0.35285019874572754,0.049385257,0.16136971,-18.86220115067433,-0.08623432522668405,-0.09444143500994573,4.166666666666667,4800,0.3496732711791992,0.6445906979087248,0.5593675450650833,27.73696628493541,12.5
9,1.7676973342895508,-22.496114079737282,46.46778559873147,337.77084562801946,-62.021505245073385,1.0416666666666667,1.0115238119368173,0.1,0.025002479553222656,0.26404500007629395,0.050392397,0.25829902,-19.225592443580627,-0.20340691684951243,-0.44920476307921026,1.0416666666666667,4800,0.6443102359771729,0.2639786435169604,0.24591125060137536,27.497698881679128,12.5
10,1.6270856857299805,-12.31647040365195,70.3441462910625,454.1168265716887,-60.717331508003554,2.0833333333333335,1.0216769689688432,0.1,0.08052444458007812,1.0183398723602295,0.04972479,0.286559,-18.53468023958776,-0.09611442423909278,-0.24581859497661807,2.0833333333333335,4800,1.3453526496887207,0.5224798945514708,0.46752493246448334,21.86084124377465,0.0
11,1.6137232780456543,-17.765649705376095,63.75900257097181,426.6063731542346,-62.36888182444562,3.125,1.0290447156638014,0.1,0.09779596328735352,0.20911502838134766,0.051080976,0.18354872,-18.457777186166595,-0.1812754914280906,-0.354482460193704,3.125,4800,0.8087682723999023,0.38815053608714245,0.3509718437932101,22.69843777524274,0.0
12,1.6389431953430176,-24.90910991824035,22.90789736500265,21.29365442892167,-61.50466097619961,1.0416666666666667,1.0349000004804516,0.1,0.06910157203674316,0.5196781158447266,0.049827684,0.07698341,-19.10291045937397,-0.1412609441211163,-0.49725565842881264,1.0416666666666667,4800,0.9953391551971436,0.11563013655973654,0.02576450609807859,21.884745418532198,0.0
13,1.6281211376190186,-13.906697548594254,61.43333962747342,443.61313062175674,-59.22842064512707,2.0833333333333335,1.0155209683034259,0.1,0.08260273933410645,0.8963086605072021,0.049275942,0.24240954,-18.583289168295998,-0.14372202477082854,-0.2771166582145965,2.0833333333333335,4800,1.1074817180633545,0.5377522073149383,0.36825931954519014,22.747797425275834,0.0
14,1.6963860988616943,-18.444225107877617,62.636979580105326,541.9840826084676,-62.30953893511613,3.125,0.9505245780530727,0.1,0.013398408889770508,1.3584468364715576,0.049533572,0.32399774,-18.56938276225416,-0.14800619534938844,-0.36855903273266083,3.125,4800,1.502913475036621,0.4385764258881524,0.3845260891857737,19.581198769111314,0.0
15,1.698673963546753,-17.705194067264802,32.6371939553516,105.13243107894179,-61.10385046286583,1.0416666666666667,1.0245326553198817,0.1,0.09356021881103516,1.0466501712799072,0.04959467,0.08695899,-18.482963892755222,-0.08816039607903242,-0.353060436246569,1.0416666666666667,4800,1.2666676044464111,0.1672967329139926,0.06786911288256026,15.33260864819164,0.0
16,1.8282053470611572,-9.315782921476108,88.92358265235768,653.2217160038341,-60.818364139617046,3.125,1.1761138777635745,0.1,0.14660406112670898,0.5390634536743164,0.05102855,0.1341783,-17.56624579562731,-0.13043877607611298,-0.18618485623454226,3.125,4800,1.261894941329956,0.5340202696242329,0.39070552825572563,18.379691681573334,0.0
17,1.812835693359375,-7.943307370990652,89.84723131890007,721.8745148890918,-61.49172232244025,1.0416666666666667,1.0300879851254392,0.1,0.05517721176147461,1.6018633842468262,0.048630465,0.26798582,-16.603951953163644,-0.09742632329344346,-0.15804366217157548,1.0416666666666667,4800,1.5144867897033691,0.5054575744394842,0.4341342531871704,21.294629377670205,0.0
18,1.5794858932495117,0.029324016762772704,102.4662835025449,615.8952161826401,-61.677409921753856,4.166666666666667,1.0795131170525627,0.1,0.08831000328063965,1.2684283256530762,0.050672065,0.13450292,-14.940624356171003,-0.07048237671279405,0.0009652036758570995,4.166666666666667,4800,1.1003921031951904,0.43643035976507516,0.3704112825429435,20.784757441669516,0.0
19,1.5799739360809326,-12.126737588551045,82.69651662228827,483.2088943712672,-58.433012708254665,3.125,0.9627355619620176,0.1,0.08811473846435547,1.147212028503418,0.049729966,0.2382943,-14.659235679409008,-0.18248272768796225,-0.24194870921800468,3.125,4800,1.1334643363952637,0.26525339514052226,0.20731607406515715,19.67959204551273,6.25
20,1.6718358993530273,-11.370343210077474,67.43519639578737,434.04011737258276,-59.94848188128358,4.166666666666667,0.9497748545155847,0.1,0.07050776481628418,0.916884183883667,0.050482154,0.12080596,-14.330346432475856,-0.10670753302220769,-0.22706267866863483,4.166666666666667,4800,1.5844957828521729,0.252984160484754,0.18717024182874709,19.766682216152525,6.25
21,1.6552841663360596,-21.686405014074612,44.13498429226437,326.23689340664555,-62.227685610762045,0.0,1.1156413096968878,0.1,0.11546111106872559,0.7287540435791016,0.048778784,0.10417394,-15.065952290635732,-0.1722430080273122,-0.4329540395810319,0.0,4800,1.351395606994629,0.19076747405778738,0.13634384318221102,22.493371721421877,0.0
22,1.6912221908569336,-12.734690925581466,66.49270687530094,530.3851938483386,-61.510334562167166,2.0833333333333335,1.1017932141124085,0.1,0.08100461959838867,0.810478925704956,0.050092444,0.22803764,-14.832826154130306,-0.08545628531010979,-0.25444556361095644,2.0833333333333335,4800,1.054950475692749,0.3081042592648094,0.25440534813131493,24.527584875997576,6.25
23,1.6123144626617432,-4.755283747115006,85.44378641165358,450.31180312606386,-61.65606265931787,2.0833333333333335,1.0526922382383508,0.1,0.10832691192626953,0.7959976196289062,0.048891447,0.14657813,-13.825071913428776,-0.12085669250611385,-0.0942144380975245,2.0833333333333335,4800,1.4032058715820312,0.2934923662693734,0.21716768180006005,21.442087224482385,6.25
24,1.7653632164001465,-8.77534890850095,80.90960599963532,599.272628502788,-61.57545473075824,2.0833333333333335,1.0175115549783287,0.1,0.12514066696166992,0.551943302154541,0.049378015,0.15916938,-13.320099612935993,-0.09894483899944946,-0.1747189200651349,2.0833333333333335,4800,1.433600902557373,0.29537868989616567,0.234743910703006,17.687551594556112,6.25
25,1.7806825637817383,-22.125279924469055,57.16736858443234,488.1950270450152,-58.90797069075713,2.0833333333333335,0.9092621665520512,0.1,0.06188631057739258,0.5144052505493164,0.049325816,0.16280474,-14.200617644089299,-0.20536573481566592,-0.44112792239511084,2.0833333333333335,4800,1.3026971817016602,0.15594163512691214,0.13791737588786768,20.876139299132227,12.5
26,1.6697514057159424,-15.05861529622095,62.66905633672812,421.15672233939637,-60.742597166978484,1.0416666666666667,1.0201347160503667,0.1,0.02082037925720215,0.23253703117370605,0.050497152,0.13056952,-14.286417409302464,-0.12318123778414623,-0.3008125854268056,1.0416666666666667,4800,1.1598312854766846,0.22465306253477796,0.18600448734276903,22.049588787379083,18.75
27,1.5905420780181885,-16.32235714683399,49.143006596893066,323.3371833526177,-57.79073466085892,1.0416666666666667,0.9761362743850389,0.1,0.0504148006439209,0.16953563690185547,0.050427318,0.12675288,-14.490011383055617,-0.13061289683314956,-0.3258189213068409,1.0416666666666667,4800,1.4404311180114746,0.16484146897749027,0.13002522338246997,23.90975293084882,12.5
28,1.5991582870483398,-21.80644477933374,23.645552991845257,52.73145045516946,-61.25548991192818,3.125,1.0467791161047337,0.1,0.0730130672454834,0.7226312160491943,0.05133312,0.06958218,-15.221654722683429,-0.10785715822660912,-0.43562916972391763,3.125,4800,1.0975589752197266,0.14946267434252236,0.04091827767514816,24.01363638364054,18.75
29,1.6204650402069092,-5.523207330799554,71.68001447015708,480.30199768942697,-59.578549251643025,6.25,0.993833256031905,0.1,0.05271148681640625,0.6455593109130859,0.049006585,0.2838651,-14.251809983495042,-0.01960865223103615,-0.10997477060024564,6.25,4800,1.0941894054412842,0.3022543989174097,0.14310945509894923,24.127145926712334,18.75
30,1.8006651401519775,-0.28766490771003933,73.26360983383805,520.3901743204208,-55.80198625150775,3.125,1.0770646019020647,0.1,0.013336896896362305,0.1826457977294922,0.05160978,0.18116918,-12.855395475916541,0.07240118209702288,-0.005021280716285594,3.125,4800,0.9572489261627197,0.4042180184577437,0.308939305875779,26.593019946130617,18.75
31,1.6766796112060547,-7.761003788590692,63.19831627029269,480.6035966954772,-54.0296172654654,2.0833333333333335,0.9904649956478478,0.1,0.08463001251220703,1.4627318382263184,0.050510798,0.09729737,-12.345956307183958,0.0011215750172480776,-0.15477250782891852,2.0833333333333335,4800,1.957214593887329,0.28934578965439783,0.17563261394229848,26.905100732043103,12.5
32,1.6841537952423096,-16.623664426510054,25.424044081147795,51.43496329548103,-58.97762926799907,3.125,0.9968494902340264,0.1,0.06762099266052246,0.5548956394195557,0.050481237,0.07236213,-12.773727119116568,-0.009599205471007172,-0.3320700318907749,3.125,4800,1.4034309387207031,0.3209529896048941,0.07131274925911783,30.615055035564374,25.0
33,1.6941304206848145,1.285960352617349,133.53511636025172,855.289709705411,-59.01130833464077,4.166666666666667,0.9492766393637891,0.1,0.11379742622375488,1.1752779483795166,0.049044378,0.26275966,-11.367758371943177,-0.06963197893888835,0.02644180301989435,4.166666666666667,4800,1.3293633460998535,0.5164878347757901,0.1508127752588682,41.14205828970952,18.75
34,1.8072638511657715,-0.19285245599761325,114.64883554684975,827.9334044087728,-59.29440892733253,8.333333333333334,1.0399734516963701,0.1,0.0676264762878418,0.4991433620452881,0.048972685,0.15626559,-10.25026778034862,-0.09376171582301696,-0.003119630650977904,8.333333333333334,4800,1.541287899017334,0.23038377157803702,0.18799057170294123,45.942731146682675,6.25
35,1.5572006702423096,13.356525616593446,146.37355840741122,949.7294589501306,-58.8044393032935,7.291666666666667,1.1050986716025906,0.1,0.09053206443786621,1.1300725936889648,0.050501574,0.09904577,-7.889588440654414,-0.00636745242571687,0.2681535566494799,7.291666666666667,4800,1.1809399127960205,0.23661388791627103,0.17088519456866577,49.29061462523255,12.5
36,1.5903329849243164,12.086071799026683,136.22977780541902,795.5738922496772,-56.81853165902648,7.291666666666667,1.0330135893704009,0.1,0.06810188293457031,0.9085791110992432,0.04994156,0.091326736,-5.892022416686304,-0.02798337868211483,0.24224255786672613,7.291666666666667,4800,1.3312320709228516,0.1315228667088932,0.11051413444864987,53.970590962878205,6.25
37,1.6523749828338623,-9.641536353262518,31.740516911186866,107.62777440177976,-57.50505519397413,6.25,1.1028760933827115,0.1,0.07941913604736328,0.8398981094360352,0.05148156,0.060943082,-6.266973810343925,0.09779709741066954,-0.19262957711304632,6.25,4800,1.3539855480194092,1.0875304316748962,0.09378536066932146,54.13802117721701,6.25
