iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,3.9821786880493164,-333.2671228811321,4.298660570368463,-321.632356073044,-344.6854768798641,0.0,1.0171755535827598,0.1,0.05933976173400879,0.22246599197387695,0.123747535,0.110536486,-333.2671228811321,-3.258530758580253,-3.3311047826911278,0.0,9600,0.6364295482635498,0.9993445864109066,0.18135754938200394,-283.99279887937195,0.0
1,4.131637096405029,-334.5405419782394,3.8448294352444283,-326.2403262131237,-344.67646772372433,0.0,1.8769281166053484,0.1,0.013614177703857422,0.19828438758850098,0.050165962,0.05549932,-333.39446479084285,-3.270463466684673,-3.3438554826602473,0.0,9600,0.8034486770629883,0.18126671605980393,0.021270333094013643,-284.28475782640106,0.0
2,3.965841054916382,-334.2841628804552,3.9860653616813853,-325.19563481691705,-343.80289549562383,0.0,1.959587682852279,0.1,0.011914968490600586,0.4316120147705078,0.048976563,0.053383514,-333.48343459980407,-3.267952762966799,-3.341289985917136,0.0,9600,0.9683899879455566,0.020971955887845097,0.009883363497945934,-281.97926035657093,0.0
3,3.9848053455352783,-333.22769522614163,3.956283001100326,-324.3965105868686,-344.18991993132363,0.0,1.791345033474023,0.1,0.010153055191040039,0.4446067810058594,0.048983622,0.05635269,-333.45786066243784,-3.25768913340174,-3.330720640311833,0.0,9600,0.6956267356872559,0.01115185135234751,0.007199322797201254,-280.82451515092293,0.0
4,3.9720757007598877,-332.70843310324057,4.252330100379561,-321.18394105983657,-341.406770767205,0.0,1.9493539635481594,0.1,0.01823115348815918,0.4492683410644531,0.049649455,0.051094845,-333.3829179065181,-3.252346793302045,-3.325543758685585,0.0,9600,0.9212892055511475,0.0070188120510919945,0.005506206124172362,-281.34048737735225,0.0
5,3.9714295864105225,-332.9662222927953,4.352364598816752,-322.1020654478489,-344.4419243638129,0.0,1.8768876595398936,0.1,0.013740301132202148,0.4681534767150879,0.049495686,0.05633264,-333.34124834514586,-3.2549040341233115,-3.328091971758964,0.0,9600,1.8072168827056885,0.006501449202547916,0.005297592490062843,-279.82572131625716,0.0
6,3.9874844551086426,-332.7804957834933,3.717002036855791,-323.8745933178413,-343.0300924533278,0.0,1.8399726191052255,0.1,0.013853073120117188,0.4096195697784424,0.050708745,0.057286642,-333.2851730889806,-3.2527083714082625,-3.3261907990973527,0.0,9600,2.4482719898223877,0.0043916973683493605,0.0035905282777807276,-278.1245698831976,0.0
7,4.119821548461914,-331.7902736205249,4.787995029724801,-321.548203663192,-343.6762145589314,0.0,1.8536061483792803,0.1,0.020653247833251953,0.3983466625213623,0.050933555,0.054744836,-333.13568314213506,-3.2425180528350794,-3.3163808052800405,0.0,9600,2.165961503982544,0.004870981952921106,0.003613133087312759,-274.2949092780513,0.0
8,4.1088292598724365,-331.72122118552534,4.238975999809192,-320.3025680001757,-344.12951505935627,0.0,1.6372381369036395,0.1,0.01309514045715332,0.40577173233032227,0.05028662,0.062004592,-332.9942369464741,-3.2414409238511372,-3.3156833111579496,0.0,9600,2.0320513248443604,0.004918870401433183,0.0029208930011495175,-274.5703882368552,0.0
9,4.1485230922698975,-331.30139589577624,3.973068585742587,-321.57707595863764,-343.1145716179974,0.0,1.812001507877631,0.1,0.014356136322021484,0.4535186290740967,0.04965066,0.05553667,-332.8249528414043,-3.2374688918879113,-3.3114870145667274,0.0,9600,2.035749673843384,0.003148726645191317,0.00236342600554105,-274.08965572406674,0.0
