iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,3.9269471168518066,-290.8546636056721,28.903916762694845,-219.41123050769775,-364.56885454150614,0.0,1.042337764348985,0.1,0.03820180892944336,0.44791746139526367,0.05161534,0.09802491,-290.8546636056721,-2.8358490067551148,-2.908424140381251,0.0,9600,0.9400343894958496,0.9992060529837014,0.19955946462212917,-274.46409370529375,0.0
1,3.9999186992645264,-294.6481094614854,34.513166690135904,-223.88717512567104,-410.4005161293078,0.0,1.1064262426856473,0.1,0.013872623443603516,0.4807271957397461,0.052087158,0.095326245,-291.23400819125345,-2.873599518406342,-2.9462897170587143,0.0,9600,1.5943901538848877,0.200026430927689,0.09443417216717437,-275.30100829218236,0.0
2,3.8804478645324707,-292.191689162536,32.195361103649205,-222.23519226798686,-409.5304244793249,0.0,1.1381426171097975,0.1,0.045285940170288086,0.4711496829986572,0.05219245,0.09250608,-291.3297762883817,-2.8489561289490606,-2.921619211749149,0.0,9600,1.361884593963623,0.11344593512476799,0.07010025248271139,-274.0913383768148,0.0
3,3.874166965484619,-293.13623685504905,30.931825011712704,-216.55160792265278,-368.4887412791573,0.0,1.0880598007698117,0.1,0.04914069175720215,0.46654343605041504,0.05029257,0.0946714,-291.5104223450485,-2.85885479269935,-2.9312165005478623,0.0,9600,0.9338517189025879,0.08639426479557848,0.046818354619811806,-273.98378986855397,0.0
4,3.8815250396728516,-292.649374030658,29.321882200576976,-224.01776478882508,-363.375563728391,0.0,1.0420507536547408,0.1,0.011591434478759766,0.4954566955566406,0.054565612,0.10482299,-291.62431751360947,-2.854224322383438,-2.9266255567229766,0.0,9600,0.7576823234558105,0.06304475518988997,0.019049657652151955,-274.29823814337783,0.0
5,3.9395689964294434,-297.17921222127774,29.389717356318595,-235.9183374417629,-372.3560734342625,0.0,1.0797726055352523,0.1,0.013911962509155273,0.46687793731689453,0.04943635,0.091732115,-292.1798069843763,-2.899255174418215,-2.9715408887826125,0.0,9600,1.400855302810669,0.0278863128356792,0.01085376361431218,-274.4888632077349,0.0
6,3.874666213989258,-285.8302214198629,32.26812739455493,-188.37023779720474,-354.60294985200517,0.0,1.089704032308727,0.1,0.030601024627685547,0.4867095947265625,0.05263201,0.09294694,-291.544848427925,-2.7857697499116143,-2.858143106210921,0.0,9600,2.2344472408294678,0.016641870452890683,0.010152553858739114,-273.3343007437471,0.0
7,4.039336919784546,-286.46952730271636,32.5493828868083,-216.6816520323643,-392.3471754464442,0.0,1.0033052171143342,0.1,0.06213235855102539,0.4683048725128174,0.05338019,0.10088771,-291.03731631540415,-2.791943237639334,-2.8644959985062752,0.0,9600,2.1924822330474854,0.01468793857751765,0.009045509248348156,-274.7806286970041,0.0
8,4.00702166557312,-299.99496810894277,26.623456351103524,-235.4161611384932,-373.36747065401653,0.0,1.0712913876544308,0.1,0.013480424880981445,0.46237969398498535,0.048455033,0.08949966,-291.933081494758,-2.9271472130305,-2.999928026427792,0.0,9600,1.88352632522583,0.009658244420255726,0.005795676576397795,-274.6249711112048,0.0
9,4.019821882247925,-287.58605905427584,27.198647349553358,-192.84597082934886,-353.4565540099881,0.0,1.0491616043359007,0.1,0.01570725440979004,0.48081421852111816,0.049250565,0.09413246,-291.49837925070983,-2.803155299049362,-2.8757331978219134,0.0,9600,1.92563796043396,0.011164322409781418,0.005898566779803657,-276.95292903053587,0.0
