iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.9694814682006836,-40.35135747081332,6.3835313235489055,-28.181550856996484,-58.05887520281247,0.0,0.5064330869036018,0.1,0.18854689598083496,1.839294672012329,0.058965955,0.21091552,-40.35135747081332,-0.15410135721960103,-0.36356681129772705,0.0,2355,0.26847314834594727,1.0004263391640515,0.33648610474518537,13.547781105435714,0.0
1,2.18583345413208,-40.38512054734492,7.057076398142821,-14.47675504998846,-61.93663666699901,0.0,0.8051756043484491,0.1,0.11988329887390137,1.4589290618896484,0.05225631,0.13896304,-40.354733778466475,-0.15816130743182136,-0.36390447534807474,0.0,2796,0.349501371383667,0.3321724018041086,0.030415775016178762,43.20562425125565,0.0
2,2.9382030963897705,-39.115826016709,11.768905142718381,1.75520624828086,-62.21820176574293,0.0,1.091863673495546,0.1,0.14687323570251465,2.535156488418579,0.051875103,0.11643769,-40.230843002290726,-0.16341306846747197,-0.3564219431279612,0.0,3848,0.4720289707183838,0.19342311084950348,0.14926584189614917,76.82635760328915,0.0
3,3.210873603820801,-37.61368568797085,12.504264672004657,7.184411113966464,-56.661851457262806,0.0,1.010841642852669,0.1,0.11431193351745605,2.3690547943115234,0.050307125,0.1154049,-39.969127270858735,-0.1629084030831148,-0.33619118244808904,0.0,3922,0.29377079010009766,0.14917962867044832,0.13675237026174444,94.8083954069611,0.0
4,3.3324923515319824,-35.231077057008925,14.535666891913202,15.767015026202008,-57.61252221368538,0.0,1.0807975244181225,0.1,0.11485004425048828,0.9796826839447021,0.05175067,0.10212264,-39.49532224947376,-0.16395725318807894,-0.3175779448340182,0.0,4433,0.6937592029571533,0.20506995905489722,0.1755061812987633,-18.722676608982955,0.0
5,4.157790422439575,-24.638175878763175,20.559605009036083,11.022110639345732,-60.36944843467275,0.0,1.3430797286663576,0.1,0.05080699920654297,0.4419260025024414,0.05170586,0.070904255,-38.009607612402704,-0.16568874067573483,-0.23249723747699283,0.0,6073,0.593379020690918,0.5208816060714371,0.32847433760628664,-26.272882982887204,0.0
6,5.114587068557739,-13.348754339577757,19.451180775803618,23.327993598613453,-48.7273519880158,0.0,1.2938083973903833,0.1,0.03731107711791992,0.4792041778564453,0.052443847,0.0779529,-35.54352228512021,-0.1686181553764372,-0.1196054758965428,0.0,7339,0.6016058921813965,0.47360664665752705,0.3882501068222588,-33.50276742591488,0.0
7,6.045385837554932,-2.8243417662536667,15.985374776579738,20.284507347363746,-62.08603465779865,0.0,1.4878714808068143,0.1,0.02214980125427246,0.5691938400268555,0.050584655,0.06632295,-32.27160423323356,-0.16800815976389516,-0.030005650018046465,0.0,9019,1.0799343585968018,0.5307935687048514,0.42505775699604664,-40.629646136306405,0.0
8,6.448089838027954,4.086289410470792,8.889612998985367,20.53417983216486,-29.93404674810625,0.0,1.324138051157813,0.1,0.04075050354003906,0.5761082172393799,0.053396206,0.096248604,-28.635814868863125,-0.1667827575875164,0.04431451900474572,0.0,9476,0.8481264114379883,0.29490464917582354,0.20205563075222008,-40.34015906158901,0.0
9,6.327989816665649,9.085310771246862,11.288090077585949,36.495519055586065,-35.06388550956302,0.0,1.1944275044291754,0.1,0.01416158676147461,0.6127755641937256,0.05505686,0.1040112,-24.86370230485213,-0.1622293475669613,0.08909374418397364,0.0,9386,1.7765190601348877,0.36745649173330225,0.33092248486288767,-40.037403425632334,0.0
10,6.469726800918579,15.607223987877035,11.06734830044161,37.303222287888715,-36.103819789351746,0.0,1.2730224713226272,0.1,0.02896428108215332,0.6178848743438721,0.052599948,0.119990885,-20.816609675579212,-0.15847287571932245,0.15430904834879824,0.0,9541,2.840718984603882,0.30645223568131674,0.2651190907215317,-40.249746803706124,0.0
11,6.4615232944488525,14.948357578425883,13.944013407125757,41.07000285766622,-56.7771151970378,0.0,1.4206737752003722,0.1,0.021045923233032227,0.7955939769744873,0.051278427,0.08056938,-17.240112950178705,-0.15705989680986795,0.15293567465644672,0.0,9492,2.521444797515869,0.35277884363509043,0.325891377474442,-40.25448494104036,0.0
12,6.6511311531066895,15.80899078024052,12.863575222712864,37.65373594790297,-13.978640247694873,0.0,1.277679256523242,0.1,0.02143263816833496,0.5449271202087402,0.05112608,0.10263124,-13.935202577136783,-0.15617250948832587,0.15632749051167413,0.0,9600,2.459223985671997,0.34833483052245356,0.21271203363091887,-40.12430472497801,0.0
13,6.473738193511963,17.936096517751167,11.511350363702812,41.06146590047789,-9.156244425688962,0.0,1.4302664251835855,0.1,0.05789017677307129,0.5601534843444824,0.04999279,0.10400974,-10.748072667647987,-0.15573275442705956,0.1776005789062738,0.0,9600,2.916611909866333,0.21210725275090955,0.16598209587256366,-40.289615247941555,0.0
