iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.4909322261810303,-54.41654233127925,4.742493540106979,-17.887576027290727,-66.31560070327438,0.0,0.5677288255183945,0.1,0.05284261703491211,0.20812273025512695,0.07090327,0.18965636,-54.41654233127925,-0.16599379301540887,-0.5042201863935151,0.0,2889,0.2404477596282959,1.0009633799598774,0.1379070339447152,-14.99130071650063,0.0
1,2.046529769897461,-52.92080315419518,10.394938159930474,-17.151660150208766,-68.38734171204337,0.0,1.0450685931571186,0.1,0.015109539031982422,0.45412468910217285,0.050538816,0.10387479,-54.266968413570844,-0.16938287273306538,-0.48926144538051664,0.0,3656,0.37195396423339844,0.18633314015233654,0.14183400967586615,-14.98343623355904,0.0
2,2.4337477684020996,-47.481784974392674,16.647460812363835,-15.507159891693131,-66.37881155771768,0.0,1.1661000259983025,0.1,0.02072000503540039,0.418842077255249,0.051893704,0.09121048,-53.58845006965303,-0.17191711590463365,-0.45050558450003225,0.0,4944,0.4345211982727051,0.40697668054762703,0.2883926435886626,-15.113603394712648,0.0
3,2.4734714031219482,-43.153524311448145,18.271519543762338,-14.794304766098696,-66.09928077028644,0.0,1.1920158448833011,0.1,0.06887173652648926,0.41751670837402344,0.05150531,0.084200114,-52.54495749383254,-0.17536585106712047,-0.3968021862344793,0.0,5415,0.6208670139312744,0.4071145518956067,0.29730215536326116,-15.2076428809042,0.0
4,3.3965108394622803,-35.4428853416725,19.696415425860785,-13.03723590389049,-67.57928023486866,0.0,1.4221308172830323,0.1,0.01820516586303711,0.40987110137939453,0.051109478,0.06858797,-50.83475027861654,-0.1762764137209775,-0.34055082669824327,0.0,6856,0.657642126083374,0.44133684230296516,0.3588372022872797,-15.59353512831235,0.0
5,3.643117904663086,-24.80095614924291,15.759928782862634,-11.346791136571763,-64.12704851869965,0.0,1.6961669543343143,0.1,0.015569686889648438,0.3372762203216553,0.051218703,0.052473556,-48.23137086567918,-0.17236578951415407,-0.2393398615366987,0.0,8403,0.7774863243103027,0.5413168369117801,0.3757830162493893,-15.958183649275737,0.0
6,3.850520133972168,-18.07252915329783,8.00724641384907,-13.78485238992006,-59.60636335585777,0.0,1.7101355474073479,0.1,0.01632404327392578,0.4254579544067383,0.050575018,0.050438363,-45.21548669444105,-0.16645717090396583,-0.18248935050893533,0.0,9337,0.9248454570770264,0.3268900822391806,0.21197124166305065,-16.110215575604244,0.0
7,4.068545818328857,-16.769754201945904,3.894202173777837,-10.18467522705162,-52.122529679344574,0.0,1.5969828902410503,0.1,0.015569210052490234,0.38230013847351074,0.051133398,0.0482182,-42.37091344519153,-0.16601154513335203,-0.1694693245006752,0.0,9514,2.0107791423797607,0.052104479364342926,0.04483235939429077,-16.002410174799373,0.0
8,4.118549346923828,-17.450562839440142,6.282091977822454,-13.439080241430041,-60.50972281985101,0.0,1.7604296366379402,0.1,0.014921188354492188,0.40804576873779297,0.051028986,0.043801557,-39.8788783846164,-0.1675196682082587,-0.17627278098875107,0.0,9510,1.8842263221740723,0.19026494289286966,0.18292635262370516,-16.19423688494347,0.0
9,4.133980751037598,-16.18172971917382,1.2648885388842563,-12.404887053915841,-18.78055252915595,0.0,1.7418020836838037,0.1,0.013387441635131836,0.40903425216674805,0.05010006,0.059807014,-37.50916351807214,-0.16400294241147684,-0.1635862757448102,0.0,9600,2.061558246612549,0.023337597962492525,0.013333956198679916,-16.1795255402388,0.0
10,4.150627136230469,-16.325833086524995,1.1586628271180857,-13.007657858334957,-18.444628296655907,0.0,1.7968731136931242,0.1,0.013451576232910156,0.4378337860107422,0.050561577,0.05600278,-35.39083047491743,-0.16502968260896006,-0.16502968260896006,0.0,9600,1.9668292999267578,0.01327716887406746,0.009341170565799289,-16.201626823143673,0.0
